From Top,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,
Time,Behavior,Comment,Status
0,SS/Wake,,START
0.067,Locomotion,,START
1.467,Locomotion,,STOP
5.133,Porthole Interaction,,START
7.8,Porthole Interaction,,STOP
8.067,Locomotion,,START
9.933,Locomotion,,STOP
10.533,Porthole Interaction,,START
11.267,Locomotion,,START
11.267,Porthole Interaction,,STOP
14.267,Locomotion,,STOP
14.467,Porthole Interaction,,START
16.867,Porthole Interaction,,STOP
16.933,Locomotion,,START
19.267,Locomotion,,STOP
19.333,Porthole Interaction,,START
19.733,Porthole Interaction,,STOP
20.533,Locomotion,,START
21.467,Locomotion,,STOP
21.933,Porthole Interaction,,START
22.133,Porthole Interaction,,STOP
23.8,Locomotion,,START
24.2,Locomotion,,STOP
24.333,Porthole Interaction,,START
24.933,Porthole Interaction,,STOP
25.133,Porthole Interaction,,START
25.333,Porthole Interaction,,STOP
25.867,Porthole Interaction,,START
27.533,Porthole Interaction,,STOP
28.067,Locomotion,,START
28.933,Locomotion,,STOP
29.267,Porthole Interaction,,START
32.333,Porthole Interaction,,STOP
32.6,Locomotion,,START
33,Locomotion,,STOP
33.067,Porthole Interaction,,START
38.2,Porthole Interaction,,STOP
38.267,Locomotion,,START
38.867,Locomotion,,STOP
39.133,Porthole Interaction,,START
42.933,Porthole Interaction,,STOP
43.4,Porthole Interaction,,START
45.867,Porthole Interaction,,STOP
46.533,Porthole Interaction,,START
50.867,Porthole Interaction,,STOP
51.733,Porthole Interaction,,START
53.2,Porthole Interaction,,STOP
53.533,Grooming,,START
54.267,Grooming,,STOP
54.333,Locomotion,,START
54.933,Porthole Interaction,,START
55.533,Locomotion,,STOP
60.533,Porthole Interaction,,STOP
60.8,Locomotion,,START
61.6,Locomotion,,STOP
62.8,Porthole Interaction,,START
63.333,Porthole Interaction,,STOP
63.4,Locomotion,,START
64.333,Locomotion,,STOP
81.6,Porthole Interaction,,START
82.333,Porthole Interaction,,STOP
82.867,Grooming,,START
84.4,Grooming,,STOP
84.533,Locomotion,,START
87.333,Locomotion,,STOP
88.067,Grooming,,START
94.467,Grooming,,STOP
265.4,Porthole Interaction,,START
278.8,Porthole Interaction,,STOP
278.933,Locomotion,,START
284,Locomotion,,STOP
327,Porthole Interaction,,START
329.933,Porthole Interaction,,STOP
330.2,Porthole Interaction,,START
332.333,Porthole Interaction,,STOP
332.667,Locomotion,,START
337.4,Locomotion,,STOP
337.733,Playing w/ Ball,,START
338.6,Playing w/ Ball,,STOP
338.6,Riding the Ball,,START
341.867,Playing w/ Ball,,START
341.867,Riding the Ball,,STOP
342.667,Playing w/ Ball,,STOP
343.4,Playing w/ Box,,START
343.6,Playing w/ Box,,STOP
344,Riding the Box,,START
344.4,Riding the Box,,STOP
345.467,Drinking,,START
354.133,Drinking,,STOP
354.667,Riding the Box,,START
356,Riding the Box,,STOP
356.6,Rearing,,START
358.267,Rearing,,STOP
358.267,Riding the Box,,START
359,Riding the Box,,STOP
359.133,Playing w/ Box,,START
359.867,Playing w/ Box,,STOP
361.533,Locomotion,,START
362.6,Locomotion,,STOP
363,Rearing,,START
364.067,Rearing,,STOP
366.667,Playing w/ Ball,,START
369.6,Playing w/ Ball,,STOP
371.667,Playing w/ Ball,,START
372.667,Playing w/ Ball,,STOP
372.933,Playing w/ Ball,,START
373.2,Playing w/ Ball,,STOP
374.067,Playing w/ Ball,,START
392.267,Playing w/ Ball,,STOP
394.133,Locomotion,,START
395.867,Locomotion,,STOP
396.267,Locomotion,,START
397.533,Porthole Interaction,,START
398.267,Locomotion,,STOP
399.467,Porthole Interaction,,STOP
399.933,Locomotion,,START
400.133,Locomotion,,STOP
402.467,Locomotion,,START
403.8,Locomotion,,STOP
404.867,Locomotion,,START
405.933,Locomotion,,STOP
406.133,Locomotion,,START
407.267,Locomotion,,STOP
407.733,Playing w/ Ball,,START
408.2,Playing w/ Ball,,STOP
408.267,Riding the Ball,,START
408.467,Riding the Ball,,STOP
408.533,Playing w/ Ball,,START
409.667,Playing w/ Ball,,STOP
409.933,Playing w/ Ball,,START
411.667,Playing w/ Ball,,STOP
412.2,Playing w/ Ball,,START
412.467,Playing w/ Ball,,STOP
412.933,Riding the Ball,,START
415.267,Riding the Ball,,STOP
415.333,Playing w/ Ball,,START
416.267,Playing w/ Ball,,STOP
416.533,Playing w/ Ball,,START
423.467,Playing w/ Ball,,STOP
424.4,Playing w/ Ball,,START
426.267,Playing w/ Ball,,STOP
432.133,Playing w/ Ball,,START
438.8,Playing w/ Ball,,STOP
444.333,Playing w/ Ball,,START
445.2,Playing w/ Ball,,STOP
445.867,Playing w/ Ball,,START
446.467,Playing w/ Ball,,STOP
446.467,Riding the Ball,,START
448.2,Riding the Ball,,STOP
448.467,Playing w/ Ball,,START
448.8,Playing w/ Ball,,STOP
449.133,Playing w/ Ball,,START
449.933,Playing w/ Ball,,STOP
450.667,Playing w/ Ball,,START
451,Playing w/ Ball,,STOP
451.2,Riding the Ball,,START
452.533,Riding the Ball,,STOP
452.867,Playing w/ Ball,,START
453.8,Playing w/ Ball,,STOP
465.267,Playing w/ Box,,START
465.467,Playing w/ Box,,STOP
465.6,Riding the Box,,START
468.067,Riding the Box,,STOP
468.333,Playing w/ Box,,START
468.533,Playing w/ Box,,STOP
484.867,Playing w/ Ball,,START
485.467,Playing w/ Ball,,STOP
487.533,Riding the Box,,START
488.067,Rearing,,START
489.933,Rearing,,STOP
489.933,Riding the Box,,STOP
490,Playing w/ Box,,START
491.133,Playing w/ Box,,STOP
494.333,Playing w/ Ball,,START
494.733,Playing w/ Ball,,STOP
494.733,Riding the Ball,,START
494.867,Riding the Ball,,STOP
495,Playing w/ Ball,,START
495.733,Locomotion,,START
495.733,Playing w/ Ball,,STOP
499.4,Locomotion,,STOP
502.8,Locomotion,,START
504.133,Locomotion,,STOP
504.2,Playing w/ Ball,,START
504.533,Playing w/ Ball,,STOP
505.533,Playing w/ Ball,,START
505.867,Playing w/ Ball,,STOP
505.933,Riding the Box,,START
507.733,Riding the Box,,STOP
508.333,Drinking,,START
511.8,Drinking,,STOP
511.8,Riding the Box,,START
512.133,Riding the Box,,STOP
512.667,Drinking,,START
515.067,Drinking,,STOP
515.133,Riding the Box,,START
515.8,Riding the Box,,STOP
516.267,Playing w/ Box,,START
516.8,Playing w/ Box,,STOP
517,Riding the Ball,,START
517.867,Riding the Ball,,STOP
518.2,Playing w/ Ball,,START
518.267,Playing w/ Ball,,STOP
518.533,Locomotion,,START
519.733,Locomotion,,STOP
528.467,Locomotion,,START
534.067,Locomotion,,STOP
535.533,Locomotion,,START
536.533,Locomotion,,STOP
539.267,Locomotion,,START
541,Locomotion,,STOP
543.067,Locomotion,,START
545.4,Locomotion,,STOP
545.467,Locomotion,,START
547.2,Locomotion,,STOP
556.467,Locomotion,,START
557.8,Locomotion,,STOP
558.467,Locomotion,,START
559.867,Locomotion,,STOP
559.933,Porthole Interaction,,START
560,Porthole Interaction,,STOP
560.133,Porthole Interaction,,START
561.2,Porthole Interaction,,STOP
561.8,Porthole Interaction,,START
562.467,Porthole Interaction,,STOP
562.867,Porthole Interaction,,START
564,Porthole Interaction,,STOP
564.467,Porthole Interaction,,START
568.133,Porthole Interaction,,STOP
568.4,Porthole Interaction,,START
573.067,Porthole Interaction,,STOP
573.933,Porthole Interaction,,START
577,Porthole Interaction,,STOP
577.4,Porthole Interaction,,START
578.4,Porthole Interaction,,STOP
578.8,Porthole Interaction,,START
582.667,Porthole Interaction,,STOP
583.133,Porthole Interaction,,START
583.2,Porthole Interaction,,STOP
583.6,Porthole Interaction,,START
584.6,Porthole Interaction,,STOP
584.933,Porthole Interaction,,START
586.933,Porthole Interaction,,STOP
588.2,Porthole Interaction,,START
589,Locomotion,,START
589.2,Porthole Interaction,,STOP
591.4,Locomotion,,STOP
591.533,Porthole Interaction,,START
594.267,Porthole Interaction,,STOP
597.133,Locomotion,,START
597.267,Porthole Interaction,,START
598.467,Locomotion,,STOP
599.8,Locomotion,,START
603.067,Locomotion,,STOP
604.6,Locomotion,,START
606,Locomotion,,STOP
606.733,Porthole Interaction,,STOP
609.6,Porthole Interaction,,START
610.267,Porthole Interaction,,STOP
